date,facet,party,value,lower,upper
2020-02-11,2,green,0.042510297,0.036076021,0.04998563
2020-02-11,2,ukip,0.017463955,0.013462913,0.022557105
2020-02-12,1,con,0.469758795,0.444576249,0.497501712
2020-02-12,1,lab,0.307493424,0.28499964,0.329833125
2020-02-12,2,lib,0.095275243,0.084326859,0.107168172
2020-02-12,2,green,0.042336107,0.035994031,0.049816772
2020-02-12,2,ukip,0.017047902,0.013171578,0.022050021
2020-02-14,1,con,0.470920717,0.446035074,0.498847083
2020-02-14,1,lab,0.307489819,0.28478602,0.329879677
2020-02-14,2,lib,0.094836234,0.083964388,0.106482551
2020-02-14,2,green,0.042169958,0.03590136,0.049679276
2020-02-14,2,ukip,0.01663142,0.012900682,0.021512837
2020-02-15,1,con,0.472173038,0.447261567,0.500039698
2020-02-15,1,lab,0.307490819,0.284844214,0.329835102
2020-02-15,2,lib,0.094330074,0.083568249,0.105900294
2020-02-15,2,green,0.042000855,0.035839227,0.049459477
2020-02-15,2,ukip,0.016212626,0.01259471,0.020932991
2020-02-17,1,con,0.473444815,0.448286005,0.501351443
2020-02-17,1,lab,0.307383491,0.284716369,0.329746742
2020-02-17,2,lib,0.09380134,0.083125406,0.105387607
2020-02-17,2,green,0.041823265,0.035753675,0.04922426
2020-02-17,2,ukip,0.015799508,0.012272024,0.020403491
2020-02-18,1,con,0.474750413,0.449278465,0.502795325
2020-02-18,1,lab,0.30731978,0.284858309,0.329719576
2020-02-18,2,lib,0.093223179,0.082732177,0.104791775
2020-02-18,2,green,0.041644121,0.035625127,0.048962072
2020-02-18,2,ukip,0.015390352,0.011962035,0.019912995
2020-02-20,1,con,0.475977239,0.450754192,0.504298167
2020-02-20,1,lab,0.307295248,0.284784933,0.329586818
2020-02-20,2,lib,0.092683266,0.082336212,0.104218372
2020-02-20,2,green,0.041488348,0.035499044,0.048708773
2020-02-20,2,ukip,0.014994485,0.011670675,0.019378974
2020-02-21,1,con,0.477370045,0.45236181,0.505904672
2020-02-21,1,lab,0.307257183,0.284578057,0.329562124
2020-02-21,2,lib,0.092159826,0.081908771,0.103669972
2020-02-21,2,green,0.041336475,0.035343638,0.048530684
2020-02-21,2,ukip,0.014611528,0.011380458,0.018846496
2020-02-23,1,con,0.478800839,0.453708189,0.507164602
2020-02-23,1,lab,0.307180212,0.28423371,0.329456155
2020-02-23,2,lib,0.091627912,0.081396618,0.103137906
2020-02-23,2,green,0.041172654,0.035206503,0.048328181
2020-02-23,2,ukip,0.014228439,0.01110019,0.01834776
2020-02-25,1,con,0.480175373,0.454871611,0.508380529
2020-02-25,1,lab,0.306998983,0.283966388,0.329206616
2020-02-25,2,lib,0.091073052,0.080873992,0.102585503
2020-02-25,2,green,0.04101044,0.035057727,0.048131903
2020-02-25,2,ukip,0.013863524,0.010767919,0.017824382
2020-02-26,1,con,0.481677541,0.456187316,0.509950232
2020-02-26,1,lab,0.306803877,0.283581735,0.32918156
2020-02-26,2,lib,0.090523672,0.0804269,0.101860849
2020-02-26,2,green,0.040852916,0.034912596,0.047892476
2020-02-26,2,ukip,0.013520642,0.010490399,0.017341927
2020-02-28,1,con,0.483027626,0.457386502,0.511313329
2020-02-28,1,lab,0.306559215,0.283300569,0.328522421
2020-02-28,2,lib,0.08993309,0.079907741,0.101269814
2020-02-28,2,green,0.04066255,0.034740685,0.047707933
2020-02-28,2,ukip,0.013181028,0.010235396,0.016936655
2020-02-29,1,con,0.484488873,0.458752494,0.512909856
2020-02-29,1,lab,0.306494611,0.283214518,0.32815201
2020-02-29,2,lib,0.089433462,0.079345585,0.10072553
2020-02-29,2,green,0.040495825,0.034616815,0.047465728
